language	branch	postposition	postp_id	meaning	type (spatial, temporal, abstract)	source pos	government (nouns)	government (pronouns)	directionality	adverbial use (yes/no)	borrowed (yes/no)	agreement	agreement_stem	agreement_slot	comment	reference
Chechen	Nakh	juq'a	1	into the middle	spatial	noun	dative?	dative?	1	1	0	0	0			Maciev 1961: 610, Desheriev 1963: 488, Nichols 1994: 29
Chechen	Nakh	juq'a	1	into	spatial	noun	dative?	dative?	1	1	0	0	0			Maciev 1961: 610, Desheriev 1963: 488, Nichols 1994: 29
Chechen	Nakh	metta	2	instead	abstract	noun	genitive	genitive		0	0	0	0			Maciev 1961, Nichols 1994: 29
Chechen	Nakh	t'æħæ	3	after	spatial	noun	comparative	comparative		1	0	0	0			Maciev 1961: 610, Nichols 1994: 29, Molochieva, Komen in progress: 22
Chechen	Nakh	ču	4	in(to)	spatial	noun	absolutive	absolutive	1	1	0	0	0			Maciev 1961: 609, Desheriev 1963: 488, Molochieva, Komen in progress: 22
Chechen	Nakh	ču	4	in(to)	spatial	noun	dative	dative	1	1	0	0	0			Maciev 1961: 609, Desheriev 1963: 488, Molochieva, Komen in progress: 22
Chechen	Nakh	ara	5	out of	spatial	noun	comparative	comparative	1	1	0	0	0			Maciev 1961: 609
Chechen	Nakh	ara	5	outside	spatial	noun	comparative	comparative	1	1	0	0	0			Maciev 1961: 609
Chechen	Nakh	ara	5	out of	spatial	noun	ablative	ablative	1	1	0	0	0			Yakovlev 1940: 141
Chechen	Nakh	ara	5	outside	spatial	noun	ablative	ablative	1	1	0	0	0			Yakovlev 1940: 141
Chechen	Nakh	t'e	6	on(to)	spatial	noun	absolutive	absolutive	1	1	0	0	0			Yakovlev 1940: 141, Desheriev 1943: 488
Chechen	Nakh	t'e	6	on(to)	spatial	noun	dative	dative	1	1	0	0	0			Yakovlev 1940: 141, Molochieva, Komen in progress: 22, Desheriev 1943: 488
Chechen	Nakh	k'el	7	under	spatial	noun	absolutive	absolutive	1	1	0	0	0			Yakovlev 1940: 141, Desheriev 1963: 488
Chechen	Nakh	k'el	7	under	spatial	noun	dative	dative	1	1	0	0	0			Yakovlev 1940: 141, Desheriev 1963: 488
Chechen	Nakh	ħalxa	8	in front of	spatial	noun	dative?	dative?	1	1	0	0	0			Maciev 1961: 610, Desheriev 1963: 488
Chechen	Nakh	t'eħa	9	behind	spatial	noun	dative?	dative?	1	1	0	0	0			Maciev 1961: 610, Desheriev 1963: 488
Chechen	Nakh	jux:e(ħ)	10	next to	spatial	noun	dative	dative	1	1	0	0	0			Maciev 1961
Chechen	Nakh	jux:e(ħ)	10	near	spatial	noun	dative	dative	1	1	0	0	0			Maciev 1961
Chechen	Nakh	ul:o(ħ)	11	next to	spatial		dative	dative	1	1	0	0	0			Yakovlev 1940: 141, Maciev 1961
Chechen	Nakh	ul:ie	11	next to	spatial		dative	dative	1	1	0	0	0			Yakovlev 1940: 141, Maciev 1961
Chechen	Nakh	ul:o(ħ)	11	near	spatial		dative	dative	1	1	0	0	0			Yakovlev 1940: 141, Maciev 1961
Chechen	Nakh	ul:ie	11	near	spatial		dative	dative	1	1	0	0	0			Yakovlev 1940: 141, Maciev 1961
Chechen	Nakh	gerg(:)a(ħ)	12	near	spatial		dative?	dative?	1	1	0	0	0			Maciev 1961: 610, Desheriev 1963: 141
Chechen	Nakh	gen(:)a(ħ)	13	afar	spatial		dative?	dative?	1	1	0	0	0			Maciev 1961
Chechen	Nakh	læcna	14	about	abstract	verb	locative	locative		0	0	0	0			Yakovlev 1940,  Maciev 1961, Molochieva, Komen in progress: 22
Chechen	Nakh	læcna	14	in connection with	abstract	verb	locative	locative		0	0	0	0			Yakovlev 1940,  Maciev 1961, Molochieva, Komen in progress: 22
Chechen	Nakh	læcna	14	about	abstract	verb	lative	lative		0	0	0	0			Yakovlev 1940,  Maciev 1961, Molochieva, Komen in progress: 22
Chechen	Nakh	læcna	14	in connection with	abstract	verb	lative	lative		0	0	0	0			Yakovlev 1940,  Maciev 1961, Molochieva, Komen in progress: 22
Chechen	Nakh	ħoq'eħ	15	about	abstract	noun	genitive	genitive		0	0	0	0			Maciev 1961
Chechen	Nakh	ħoq'eħ	15	about	abstract	noun	nominative	nominative		0	0	0	0			Maciev 1961
Chechen	Nakh	t'exula	16	above	spatial		dative	dative	1	1	0	0	0			Maciev 1961, Molochieva, Komen in progress: 22
Chechen	Nakh	dy:na	17	since	temporal		locative	locative		1	0	0	0			Maciev 1961, Molochieva, Komen in progress: 22
Chechen	Nakh	qačːalc	18	up to	spatial		dative	dative		0	0	0	0			Maciev 1961
Chechen	Nakh	ħaežːina	19	with respect to	abstract		allative	allative			0	0	0			Molochieva, Komen in progress: 22
Chechen	Nakh	düezna	20	connected with	abstract	verb	instrumental	instrumental		0	0	0	0			Molochieva, Komen in progress: 22
Chechen	Nakh	düezna	20	connected with	abstract	verb	lative	lative		0	0	0	0			Maciev 1961
Chechen	Nakh	cħaena	21	together with	abstract		instrumental	instrumental		1	0	0	0			Maciev 1961, Molochieva, Komen in progress: 22
Chechen	Nakh	guonaχa	22	around	spatial		dative	dative		1	0	0	0			Molochieva, Komen in progress
Chechen	Nakh	düħa	23	for the sake of	abstract		genitive	genitive		0	0	0	0			Maciev 1961, Aliroev 1999, Molochieva, Komen in progress: 22
Chechen	Nakh	düħal	24	against	abstract		lative	lative		1	0	0	0			Maciev 1961, Molochieva, Komen in progress: 22
Batsbi	Nakh	juq'	25	between	spatial	noun	dative	dative		1	0	0	0			Holisky, Gagua 1994: 169, Hauk 2020
Batsbi	Nakh	k'ik'el	26	(from) under	spatial	noun	dative	dative	1	1	0	0	0			Holisky, Gagua 1994: 169, Hauk 2020
Batsbi	Nakh	mak	27	on	spatial		dative	dative		1	0	0	0			Holisky, Gagua 1994: 168
Batsbi	Nakh	mak	27	about	abstract		dative	dative		1	0	0	0			Holisky, Gagua 1994: 168
Batsbi	Nakh	ħatx(e)	28	in front of	spatial		dative	dative		1	0	0	0			Holisky, Gagua 1994: 169, Hauk 2020
Batsbi	Nakh	t'q'uiħ(e)	29	behind	spatial		dative	dative	1	1	0	0	0			Holisky, Gagua 1994: 169, Hauk 2020
Batsbi	Nakh	t'q'uiħ(e)	29	after	temporal		dative	dative		1	0	0	0			Holisky, Gagua 1994: 169, Hauk 2020
Batsbi	Nakh	re_n	30	from	spatial		oblique stem	oblique stem		0	0	0	0		is used only with sg	Holisky, Gagua 1994: 169
Batsbi	Nakh	re_n	30	from	spatial		genitive	genitive		0	0	0	0		is used only with sg	Hauk, Harris in progress: 29
Batsbi	Nakh	re_n	30	from	spatial		allative	allative		0	0	0	0		is used only with sg	Hauk, Harris in progress: 29
Batsbi	Nakh	xi_n	31	from	spatial		oblique stem	oblique stem		0	0	0	0		is used only with pl	Holisky, Gagua 1994: 169
Batsbi	Nakh	xi_n	31	from	spatial		genitive	genitive		0	0	0	0		is used only with pl	Hauk, Harris in progress: 29
Batsbi	Nakh	guiħ	32	towards	spatial		oblique stem	oblique stem		0	0	0	0			Holisky, Gagua 1994: 169, Hauk 2020
Batsbi	Nakh	ču(ħ)	33	to/at someone ('s place)	spatial		oblique stem	oblique stem		1	0	0	0			Holisky, Gagua 1994: 169
Batsbi	Nakh	pex	34	next to	spatial		dative	dative		0	0	0	0			Holisky, Gagua 1994: 169
Batsbi	Nakh	penix	35	next to	spatial		dative	dative		1	0	0	0			Holisky, Gagua 1994: 170
Batsbi	Nakh	doli_n	36	after	spatial		oblique stem	oblique stem		1	0	0	0			Hauk, Harris in progress: 29
Batsbi	Nakh	gomci_n	37	as far as	spatial		oblique stem	oblique stem			0	0	0			Hauk, Harris in progress: 29
Batsbi	Nakh	mci_n	38	up to	spatial		allative	allative		0	0	0	0			Holisky, Gagua 1994: 170, Hauk, Harris in progress: 29
Batsbi	Nakh	mci_n	38	up to	spatial		allative II	allative II		0	0	0	0			Holisky, Gagua 1994: 170, Hauk, Harris in progress: 29
Batsbi	Nakh	mple_n	39	as much as	abstract		dative	dative		0	0	0	0			Holisky, Gagua 1994: 170, Hauk, Harris in progress: 29, Hauk 2020
Batsbi	Nakh	mple_n	39	as much as	abstract		oblique stem	oblique stem		0	0	0	0			Holisky, Gagua 1994: 170
Batsbi	Nakh	mple_n	39	as much as	abstract		genitive	genitive		0	0	0	0			Hauk, Harris in progress: 29, Hauk 2020
Batsbi	Nakh	dal:a	40	because of	abstract		dative	dative			0	0	0			Holisky, Gagua 1994: 170
Batsbi	Nakh	aino	41	for	abstract		dative	dative			0	0	0			Holisky, Gagua 1994: 170, Hauk, Harris in progress: 29
Batsbi	Nakh	aino	41	for	abstract		adverbial	adverbial			0	0	0			Hauk, Harris in progress: 29
Batsbi	Nakh	ču	42	in(side)	spatial	noun	genitive	genitive		1	0	0	0			Hauk, Harris in progress: 29, Hauk 2020
